@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
679,apartment,yes
860,apartment,yes
853,apartment,yes
3500,house,no
600,apartment,yes
930,apartment,yes
1815,apartment,yes
920,apartment,yes
975,house,yes
950,apartment,yes
899,apartment,yes
650,house,yes
680,apartment,yes
1031,apartment,yes
704,townhouse,yes
459,apartment,yes
1635,apartment,yes
1200,in-law,yes
4945,apartment,yes
1714,apartment,yes
880,apartment,yes
985,apartment,yes
963,apartment,yes
850,apartment,yes
880,apartment,yes
550,apartment,yes
679,apartment,yes
700,apartment,yes
935,apartment,yes
1096,apartment,yes
600,manufactured,yes
705,apartment,yes
985,apartment,yes
529,manufactured,yes
1088,apartment,yes
715,apartment,yes
726,townhouse,yes
779,apartment,yes
786,apartment,yes
2063,apartment,yes
2420,apartment,yes
519,apartment,yes
666,apartment,yes
740,apartment,yes
450,duplex,yes
835,apartment,yes
479,apartment,yes
1175,apartment,yes
791,apartment,yes
825,apartment,yes
825,apartment,yes
539,apartment,yes
1139,apartment,yes
850,apartment,yes
768,apartment,yes
479,apartment,yes
895,apartment,yes
740,apartment,yes
229,apartment,yes
835,apartment,yes
1095,apartment,yes
729,house,no
860,apartment,yes
700,apartment,yes
835,apartment,yes
926,apartment,yes
661,apartment,yes
500,apartment,yes
850,apartment,yes
730,apartment,yes
740,apartment,yes
1334,apartment,yes
1043,apartment,yes
719,apartment,yes
760,apartment,yes
1089,apartment,yes
973,apartment,yes
1353,apartment,yes
789,apartment,yes
700,house,yes
809,apartment,yes
673,apartment,yes
450,apartment,yes
860,apartment,yes
825,apartment,yes
869,apartment,yes
863,apartment,yes
697,apartment,yes
930,apartment,yes
1025,apartment,yes
1275,house,no
1882,apartment,yes
660,apartment,yes
735,apartment,yes
1040,apartment,yes
660,apartment,yes
975,house,yes
815,apartment,yes
1100,house,no
1000,house,no
1300,house,yes
1000,house,yes
725,house,yes
500,house,yes
1550,townhouse,yes
730,apartment,yes
890,apartment,yes
725,apartment,yes
1450,duplex,yes
730,apartment,yes
880,apartment,yes
1020,apartment,yes
1110,apartment,yes
682,apartment,yes
530,apartment,yes
754,apartment,yes
600,house,yes
570,house,yes
1425,apartment,yes
750,apartment,yes
1600,house,yes
801,apartment,yes
580,apartment,yes
725,apartment,yes
925,apartment,yes
539,apartment,yes
725,apartment,yes
755,apartment,yes
990,apartment,yes
650,apartment,yes
860,apartment,yes
699,apartment,yes
957,apartment,yes
